index	word	score
0	worthless	1
1	dreadful	1.66666666666667
2	irritating	2
3	horrible	2.33333333333333
4	excruciating	3
5	pointless	3.66666666666667
6	bad	4
7	depressing	4.66666666666667
8	nasty	5
9	boring	5.33333333333333
10	lackluster	6
11	repetitive	6.66666666666667
12	worse	7
13	pitiful	7.33333333333333
14	clunky	8
15	rotten	8.33333333333333
16	tedious	9
17	cliched	9.33333333333333
18	confusing	10
19	redundant	10.3333333333333
20	awful	11
21	sordid	11.6666666666667
22	stagy	12
23	satisfactory	12.3333333333333
24	conventional	12.6666666666667
25	sober	13
26	melodramatic	13.3333333333333
27	extreme	13.6666666666667
28	visual	14
29	emotional	14.3333333333333
30	satirical	15
31	artful	15.6666666666667
32	beguiling	16
33	stimulating	16.6666666666667
34	modest	17
35	gorgeous	17.6666666666667
36	inventive	18
37	good	18.6666666666667
38	ultimate	19
39	fantastic	19.3333333333333
40	epic	20
41	fun	20.6666666666667
42	better	21
43	perfect	21.6666666666667
44	successful	22
45	great	22.3333333333333
46	excellent	23
47	hilarious	23.6666666666667
48	fabulous	24
49	brilliant	24.3333333333333
50	Spectacular	25
