# word		score

worthless	1
dreadful	1.66666666666667
irritating	2
horrible	2.33333333333333
excruciating	3
pointless	3.66666666666667
bad		4
depressing	4.66666666666667
nasty		5
boring		5.33333333333333
lackluster	6
repetitive	6.66666666666667
worse		7
pitiful		7.33333333333333
clunky		8
rotten		8.33333333333333
tedious		9
cliched		9.33333333333333
confusing	10
redundant	10.33333333333333
awful		11
sordid		11.66666666666667
stagy		12
satisfactory	12.33333333333333
conventional	12.66666666666667
sober		13
melodramatic	13.33333333333333
extreme		13.66666666666667
visual		14
emotional	14.33333333333333
satirical	15
artful		15.66666666666667
beguiling	16
stimulating	16.66666666666667
modest		17
gorgeous	17.66666666666667
inventive	18
good		18.66666666666667
ultimate	19
fantastic	19.33333333333333
epic		20
fun		20.66666666666667
better		21
perfect		21.66666666666667
successful	22
great		22.33333333333333
excellent	23
hilarious	23.66666666666667
fabulous	24
brilliant	24.33333333333333
Spectacular	25
